book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
The_Montessori_Method_Scientific_Pedagogy_as.txt,119237,67884,56.93,25.9,1.54,12.67
The_Night_Before_Christmas_and_Other.txt,7141,4672,65.43,15.75,1.28,5.66
The_Parents_Assistant_Or_Stories_for.txt,171705,104393,60.8,18.05,1.34,7.24
The_Railway_Children.txt,66845,41044,61.4,14.28,1.31,5.44
The_Story_of_the_Treasure_Seekers.txt,53548,34848,65.08,16.9,1.28,6.08
Treatise_on_Parents_and_Children.txt,39945,23852,59.71,32.84,1.51,15.07
Under_the_Window_Pictures_Rhymes_for.txt,3477,2273,65.37,16.45,1.31,6.23
Very_Short_Stories_and_Verses_For.txt,14730,10094,68.53,18.66,1.24,6.28
Wonderful_Stories_for_Children.txt,26386,17454,66.15,19.66,1.27,7.06
World_Stories_Retold_for_Modern_Boys.txt,95567,57728,60.41,18.83,1.33,7.43
