book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Stories_the_Iroquois_Tell_Their_Children.txt,26582,24148,90.84,13.63,1.23,4.24
Stories_to_Tell_Children_Fifty_Four.txt,54769,48873,89.23,18.6,1.29,6.88
The_Adventures_of_Fleet_Foot_and.txt,19428,16578,85.33,17.59,1.27,6.24
The_Aesop_for_Children_With_pictures.txt,27794,24460,88.0,16.29,1.27,5.72
The_Bitter_Cry_of_the_Children.txt,83985,70444,83.88,20.33,1.55,10.68
The_Blue_Bird_for_Children_The.txt,34290,30457,88.82,15.64,1.3,5.86
The_Box_Car_Children.txt,25093,22046,87.86,12.43,1.33,4.94
The_Burgess_Animal_Book_for_Children.txt,82548,71329,86.41,14.95,1.31,5.73
The_Burgess_Bird_Book_for_Children.txt,77976,66625,85.44,14.09,1.29,5.16
The_Care_and_Feeding_of_Children.txt,33692,28701,85.19,17.59,1.43,8.18
The_Childrens_Bible.txt,139308,126022,90.46,21.23,1.27,7.67
The_Childrens_Book_of_Birds.txt,71906,63437,88.22,17.01,1.27,6.01
The_Childrens_Book_of_Christmas_Stories.txt,79793,69661,87.3,16.76,1.31,6.44
The_Childrens_Book_of_Gardening.txt,47239,41342,87.52,22.14,1.32,8.61
The_Childrens_Book_of_London.txt,84598,77992,92.19,26.03,1.29,9.73
The_Childrens_Book_of_Thanksgiving_Stories.txt,84302,72179,85.62,18.44,1.34,7.45
The_Childrens_Garland_from_the_Best.txt,66628,54663,82.04,23.22,1.25,8.19
The_Childrens_Hour_v_5_Stories.txt,124394,110382,88.74,30.89,1.31,11.94
The_Childrens_Pilgrimage.txt,84757,74877,88.34,16.57,1.3,6.25
The_Childrens_Story_of_the_War.txt,97877,82145,83.93,20.34,1.42,9.09
The_Children_of_Odin_The_Book.txt,66196,55939,84.51,16.2,1.24,5.31
The_Children_of_the_New_Forest.txt,114455,103876,90.76,21.06,1.32,8.18
The_Children_of_the_Poor.txt,86392,76449,88.49,21.43,1.41,9.44
The_family_Robinson_Crusoe_b_or.txt,171574,150931,87.97,31.08,1.4,13.06
The_Grandchildren_of_the_Ghetto.txt,83362,69351,83.19,13.61,1.46,6.94
The_Heroes_Or_Greek_Fairy_Tales.txt,48556,40406,83.22,26.85,1.23,9.35
The_House_of_Arden_A_Story.txt,75219,65667,87.3,16.03,1.29,5.83
The_Infant_System_For_Developing_the.txt,125302,111640,89.1,25.22,1.42,10.94
The_Montessori_Method_Scientific_Pedagogy_as.txt,119237,106073,88.96,25.9,1.54,12.67
The_Night_Before_Christmas_and_Other.txt,7141,6373,89.25,15.75,1.28,5.66
The_Parents_Assistant_Or_Stories_for.txt,171705,140751,81.97,18.05,1.34,7.24
The_Railway_Children.txt,66845,55575,83.14,14.28,1.31,5.44
The_Story_of_the_Treasure_Seekers.txt,53548,45468,84.91,16.9,1.28,6.08
Treatise_on_Parents_and_Children.txt,39945,35278,88.32,32.84,1.51,15.07
Under_the_Window_Pictures_Rhymes_for.txt,3477,3020,86.86,16.45,1.31,6.23
Very_Short_Stories_and_Verses_For.txt,14730,13299,90.29,18.66,1.24,6.28
Wonderful_Stories_for_Children.txt,26386,23546,89.24,19.66,1.27,7.06
World_Stories_Retold_for_Modern_Boys.txt,95567,81626,85.41,18.83,1.33,7.43
