book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
The_First_Book_of_Adam_and.txt,34920,23733,67.96,22.55,1.25,7.93
The_Game_of_Rat_and_Dragon.txt,5703,3479,61.0,14.7,1.39,6.52
The_Garden_Party_and_Other_Stories.txt,58715,34425,58.63,11.45,1.31,4.37
The_Gift_of_the_Magi.txt,2095,1293,61.72,12.83,1.33,5.15
The_Great_Gatsby.txt,49584,28754,57.99,15.0,1.38,6.56
The_Happy_Prince_and_Other_Tales.txt,16864,10577,62.72,16.73,1.29,6.16
The_Hound_of_the_Baskervilles.txt,60648,37544,61.9,15.7,1.34,6.31
The_Importance_of_Being_Earnest_A.txt,20633,12764,61.86,10.34,1.45,5.61
The_Invisible_Man_A_Grotesque_Romance.txt,49638,28658,57.73,13.4,1.38,5.97
The_island_of_Doctor_Moreau.txt,44291,26569,59.99,15.63,1.37,6.69
The_Jewish_State.txt,42937,23967,55.82,19.13,1.59,10.66
The_Jungle.txt,150603,94681,62.87,23.6,1.34,9.46
The_Jungle_Book.txt,51913,32201,62.03,17.7,1.24,5.99
The_Junior_Classics_Volume_1_Fairy.txt,2461,1027,41.73,49.48,1.38,20.01
The_King_in_Yellow.txt,73509,42171,57.37,16.55,1.35,6.8
The_Lady_with_the_Dog_and.txt,72261,46924,64.94,16.71,1.36,7.01
The_Letters_of_Franklin_K_Lane.txt,141732,89935,63.45,18.59,1.44,8.61
The_Man_Who_Was_Thursday_A.txt,59519,34965,58.75,16.56,1.38,7.15
The_Memoirs_of_Sherlock_Holmes.txt,97678,60612,62.05,16.55,1.34,6.68
The_Monkeys_Paw_The_Lady_of.txt,4111,2375,57.77,13.31,1.33,5.32
The_murder_of_Roger_Ackroyd.txt,73482,42104,57.3,10.46,1.37,4.65
The_Mysterious_Affair_at_Styles.txt,58692,33765,57.53,11.16,1.39,5.17
The_Phantom_of_the_Opera.txt,85742,55156,64.33,14.43,1.36,6.03
The_Philippines_a_Century_Hence.txt,15896,8982,56.5,30.22,1.57,14.76
The_Philosophy_of_Auguste_Comte.txt,110017,59502,54.08,20.23,1.69,12.24
The_Picture_of_Dorian_Gray.txt,80508,49535,61.53,12.65,1.35,5.25
The_Problems_of_Philosophy.txt,42850,25678,59.93,27.82,1.52,13.19
The_Prophet.txt,12645,8326,65.84,18.95,1.26,6.63
The_Pursuit_of_God.txt,29372,18293,62.28,19.46,1.41,8.59
The_Railway_Children.txt,66845,41044,61.4,14.28,1.31,5.44
The_Red_Badge_of_Courage_An.txt,46576,26496,56.89,13.25,1.37,5.78
The_Red_Record_Tabulated_Statistics_and.txt,34513,19450,56.36,21.41,1.47,10.07
The_Reign_of_Greed.txt,116953,65092,55.66,21.15,1.47,9.99
The_Return_of_Sherlock_Holmes.txt,114551,70791,61.8,14.75,1.35,6.07
The_Roll_of_Honour_Volume_1.txt,842577,404741,48.04,10.84,1.45,5.78
The_Sea_Gull.txt,22097,13713,62.06,12.92,1.38,5.75
The_Sign_of_the_Four.txt,44082,27215,61.74,14.96,1.33,5.93
The_Social_Cancer_A_Complete_English.txt,178274,106760,59.89,18.99,1.44,8.78
The_Souls_of_Black_Folk.txt,69319,39134,56.45,25.99,1.47,11.87
The_Story_of_a_Life.txt,96216,58776,61.09,17.6,1.43,8.13
The_Tale_of_Peter_Rabbit.txt,1018,633,62.18,15.8,1.43,7.45
The_Time_Machine.txt,32645,19805,60.67,17.07,1.4,7.64
The_War_of_the_Worlds.txt,60422,35472,58.71,18.81,1.41,8.34
The_Wind_in_the_Willows.txt,59461,35503,59.71,19.22,1.34,7.73
The_Wonderful_Wizard_of_Oz.txt,40718,25847,63.48,18.42,1.26,6.44
The_Yellow_Wallpaper.txt,6125,4104,67.0,15.6,1.29,5.73
Three_men_in_a_boat_to.txt,67638,43037,63.63,19.66,1.32,7.62
Ulysses.txt,267753,148885,55.61,13.04,1.4,6.06
Up_from_Slavery_An_Autobiography.txt,76990,47833,62.13,24.72,1.43,10.87
We.txt,64398,39945,62.03,13.97,1.4,6.33
White_Fang.txt,72599,44679,61.54,15.45,1.34,6.28
Winnie_the_Pooh.txt,23735,15462,65.14,12.78,1.29,4.63
