book,total_words,common_count,percentage_common
The_King_James_Version_of_the.txt,852598,528818,62.02
The_Lady_of_the_Lake.txt,80050,45197,56.46
The_lesser_Key_of_Solomon_Goetia.txt,21558,12213,56.65
The_Lives_of_the_Twelve_Caesars.txt,234698,131106,55.86
The_Marriage_of_Heaven_and_Hell.txt,4688,2797,59.66
The_Metamorphoses_of_Ovid_Books_I.txt,127891,71653,56.03
The_Odyssey_Rendered_into_English_prose.txt,130597,86310,66.09
The_Philosophy_of_Auguste_Comte.txt,110017,59502,54.08
The_Picture_of_Dorian_Gray.txt,80508,49535,61.53
The_Poetics_of_Aristotle.txt,15268,8732,57.19
The_Portrait_of_a_Lady_Volume.txt,119782,69554,58.07
The_Prince.txt,50102,29867,59.61
The_Principles_of_Psychology_Volume_1.txt,281210,160274,56.99
The_Problems_of_Philosophy.txt,42850,25678,59.93
The_Prophet.txt,12645,8326,65.84
The_Ramayan_of_Valmiki_translated_into.txt,403017,222988,55.33
The_Rape_of_the_Lock_and.txt,57747,33248,57.58
The_Republic.txt,217174,136855,63.02
The_Republic_of_Plato.txt,254679,152906,60.04
The_Scarlet_Letter.txt,85039,48255,56.74
The_Social_Contract_Discourses.txt,123842,73013,58.96
The_Song_Celestial_Or_Bhagavad_Gita.txt,20407,11561,56.65
The_Strange_Case_of_Dr_Jekyll.txt,26073,16162,61.99
The_Time_Machine.txt,32645,19805,60.67
The_Turn_of_the_Screw.txt,43232,26768,61.92
The_Twilight_of_the_Idols_or.txt,72070,39892,55.35
The_Vampyre_a_Tale.txt,12785,7473,58.45
The_Wars_of_the_Jews_Or.txt,236544,147954,62.55
The_War_of_the_Worlds.txt,60422,35472,58.71
The_Will_to_Believe_and_Other.txt,102034,59277,58.1
The_Wonderful_Wizard_of_Oz.txt,40718,25847,63.48
The_Works_of_Edgar_Allan_Poe.txt,91156,52916,58.05
The_Yellow_Wallpaper.txt,6125,4104,67.0
Thus_Spake_Zarathustra_A_Book_for.txt,112499,66709,59.3
Twenty_Thousand_Leagues_under_the_Sea.txt,106485,59980,56.33
Ulysses.txt,267753,148885,55.61
Walden_and_On_The_Duty_Of.txt,116520,72264,62.02
We.txt,64398,39945,62.03
Wuthering_Heights.txt,118283,69331,58.61
