book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Children_of_the_Whirlwind.txt,101299,2355,2.32,15.71,1.38,6.84
Death_Valley_in_49_Important_chapter.txt,167588,3414,2.04,25.8,1.31,9.92
Dickens_Stories_About_Children_Every_Child.txt,64326,1258,1.96,17.33,1.34,7.0
Educating_by_story_telling_b_showing.txt,122654,3434,2.8,18.99,1.41,8.5
Educational_Toys_Consisting_Chiefly_of_Coping.txt,15017,453,3.02,16.77,1.34,6.75
Fables_for_Children_Stories_for_Children.txt,142534,2967,2.08,17.61,1.29,6.44
Fathers_and_Children.txt,76212,1878,2.46,15.26,1.4,6.91
Finnish_Legends_for_English_Children.txt,46220,436,0.94,24.96,1.28,9.2
Five_Children_and_It.txt,467,26,5.57,46.44,1.73,22.96
Flower_Children_The_Little_Cousins_of.txt,2339,110,4.7,20.49,1.41,9.05
Forward_Children.txt,59025,1055,1.79,11.71,1.37,5.15
FreeChildrenStoriescom_Collection.txt,15912,173,1.09,12.71,1.25,4.13
Games_and_songs_of_American_children.txt,74556,2136,2.86,17.69,1.4,7.84
Gipsy_Life_Being_an_account_of.txt,109907,3513,3.2,27.72,1.44,12.25
Good_Stories_for_Great_Holidays_Arranged.txt,95566,1998,2.09,18.74,1.34,7.49
Grammar_land_Or_Grammar_in_Fun.txt,25090,417,1.66,14.74,1.31,5.59
Holy_in_Christ_Thoughts_on_the.txt,84757,2109,2.49,21.03,1.39,8.97
How_to_Tell_Stories_to_Children.txt,56706,1388,2.45,18.57,1.35,7.62
In_Search_of_the_Castaways_A.txt,139568,5119,3.67,15.12,1.48,7.76
In_Search_of_the_Castaways_Or.txt,162571,4877,3.0,16.53,1.44,7.88
Ive_been_a_Gipsying_or_Rambles.txt,132883,3437,2.59,22.75,1.39,9.67
Letters_to_His_Children.txt,42285,1225,2.9,21.36,1.38,9.03
Library_Work_with_Children.txt,135277,8081,5.97,25.9,1.51,12.35
Literature_for_Children.txt,59233,1924,3.25,16.94,1.41,7.63
Madam_How_and_Lady_Why_Or.txt,74250,1113,1.5,24.66,1.26,8.94
Micah_Clarke_His_Statement_as_made.txt,181514,2550,1.4,20.29,1.32,7.86
New_Treasure_Seekers_Or_The_Bastable.txt,69865,944,1.35,16.28,1.3,6.06
One_thousand_books_for_children.txt,34206,1267,3.7,7.04,1.48,4.65
Stories_from_the_Faerie_Queen_Told.txt,22657,164,0.72,18.87,1.24,6.41
Stories_of_King_Arthurs_Knights_Told.txt,20673,187,0.9,18.43,1.22,6.05
Stories_of_Siegfried_Told_to_the.txt,20182,168,0.83,20.45,1.28,7.45
Stories_the_Iroquois_Tell_Their_Children.txt,26582,308,1.16,13.63,1.23,4.24
Stories_to_Tell_Children_Fifty_Four.txt,54769,806,1.47,18.6,1.29,6.88
The_Adventures_of_Fleet_Foot_and.txt,19428,208,1.07,17.59,1.27,6.24
The_Aesop_for_Children_With_pictures.txt,27794,445,1.6,16.29,1.27,5.72
The_Bitter_Cry_of_the_Children.txt,83985,4927,5.87,20.33,1.55,10.68
The_Blue_Bird_for_Children_The.txt,34290,655,1.91,15.64,1.3,5.86
The_Box_Car_Children.txt,25093,414,1.65,12.43,1.33,4.94
The_Burgess_Animal_Book_for_Children.txt,82548,1412,1.71,14.95,1.31,5.73
