book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Rizals_own_story_of_his_life.txt,12978,11025,84.95,13.25,1.44,6.55
RUR_Rossums_Universal_Robots_A_Fantastic.txt,22214,16910,76.12,8.28,1.43,4.56
Siddhartha.txt,39530,34031,86.09,21.54,1.36,8.81
Southern_Horrors_Lynch_Law_in_All.txt,9752,8399,86.13,21.53,1.49,10.36
Spoon_River_Anthology.txt,3908,1338,34.24,80.83,1.47,33.32
Studies_in_the_Psychology_of_Sex.txt,140656,115943,82.43,25.27,1.63,13.49
The_Adventures_of_Sherlock_Holmes.txt,107235,91145,85.0,16.01,1.33,6.4
The_Blue_Castle_a_novel.txt,69585,54567,78.42,11.94,1.39,5.47
The_call_of_the_wild.txt,31981,26636,83.29,19.08,1.32,7.44
The_Canterville_Ghost.txt,11749,10161,86.48,24.47,1.41,10.54
The_Elementary_Forms_of_the_Religious.txt,221785,189224,85.32,22.44,1.55,11.42
The_Elements_of_Style.txt,14031,11901,84.82,16.87,1.57,9.48
The_eleventh_hour_in_the_life.txt,9762,8547,87.55,22.0,1.4,9.45
The_Enchanted_April.txt,79169,67241,84.93,15.64,1.41,7.09
The_Extraordinary_Adventures_of_Arsene_Lupin.txt,55433,45220,81.58,13.57,1.43,6.58
The_First_Book_of_Adam_and.txt,34920,31080,89.0,22.55,1.25,7.93
The_Game_of_Rat_and_Dragon.txt,5703,4922,86.31,14.7,1.39,6.52
The_Garden_Party_and_Other_Stories.txt,58715,46686,79.51,11.45,1.31,4.37
The_Gift_of_the_Magi.txt,2095,1740,83.05,12.83,1.33,5.15
The_Great_Gatsby.txt,49584,40180,81.03,15.0,1.38,6.56
The_Happy_Prince_and_Other_Tales.txt,16864,14282,84.69,16.73,1.29,6.16
The_Hound_of_the_Baskervilles.txt,60648,51673,85.2,15.7,1.34,6.31
The_Importance_of_Being_Earnest_A.txt,20633,17386,84.26,10.34,1.45,5.61
The_Invisible_Man_A_Grotesque_Romance.txt,49638,39850,80.28,13.4,1.38,5.97
The_island_of_Doctor_Moreau.txt,44291,36624,82.69,15.63,1.37,6.69
The_Jewish_State.txt,42937,37894,88.25,19.13,1.59,10.66
The_Jungle.txt,150603,129666,86.1,23.6,1.34,9.46
The_Jungle_Book.txt,51913,42286,81.46,17.7,1.24,5.99
The_Junior_Classics_Volume_1_Fairy.txt,2461,1377,55.95,49.48,1.38,20.01
The_King_in_Yellow.txt,73509,58007,78.91,16.55,1.35,6.8
The_Lady_with_the_Dog_and.txt,72261,63069,87.28,16.71,1.36,7.01
The_Letters_of_Franklin_K_Lane.txt,141732,128340,90.55,18.59,1.44,8.61
The_Man_Who_Was_Thursday_A.txt,59519,49105,82.5,16.56,1.38,7.15
The_Memoirs_of_Sherlock_Holmes.txt,97678,83751,85.74,16.55,1.34,6.68
The_Monkeys_Paw_The_Lady_of.txt,4111,3252,79.1,13.31,1.33,5.32
The_murder_of_Roger_Ackroyd.txt,73482,58436,79.52,10.46,1.37,4.65
The_Mysterious_Affair_at_Styles.txt,58692,46527,79.27,11.16,1.39,5.17
The_Phantom_of_the_Opera.txt,85742,76138,88.8,14.43,1.36,6.03
The_Philippines_a_Century_Hence.txt,15896,13663,85.95,30.22,1.57,14.76
The_Philosophy_of_Auguste_Comte.txt,110017,95189,86.52,20.23,1.69,12.24
The_Picture_of_Dorian_Gray.txt,80508,67579,83.94,12.65,1.35,5.25
The_Problems_of_Philosophy.txt,42850,39040,91.11,27.82,1.52,13.19
