book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
The_Communist_Manifesto.txt,11491,9731,84.68,24.55,1.75,14.64
The_Complete_Works_of_William_Shakespeare.txt,969332,775283,79.98,13.74,1.31,5.25
The_Confessions_of_St_Augustine.txt,111993,98399,87.86,30.53,1.33,12.07
The_Consolation_of_Philosophy.txt,43106,36471,84.61,22.74,1.41,9.86
The_Critique_of_Pure_Reason.txt,209421,184558,88.13,35.58,1.69,18.24
The_divine_comedy.txt,109847,84746,77.15,25.13,1.3,9.5
The_Divine_Comedy_of_Dante_Alighieri.txt,117939,93167,79.0,22.55,1.39,9.57
The_Dore_Bible_Gallery_Complete_Containing.txt,35802,31084,86.82,22.94,1.29,8.6
The_Egyptian_Book_of_the_dead.txt,139065,105976,76.21,15.73,1.36,6.65
The_Elementary_Forms_of_the_Religious.txt,221785,189224,85.32,22.44,1.55,11.42
The_Enchiridion.txt,11181,8956,80.1,18.11,1.5,9.12
The_Ethics_of_Aristotle.txt,113998,101429,88.97,39.74,1.45,17.05
The_Fall_of_the_House_of.txt,7111,5793,81.47,29.77,1.54,14.14
The_Genealogy_of_Morals_The_Complete.txt,55729,46261,83.01,36.16,1.58,17.12
The_Germany_and_the_Agricola_of.txt,49120,39065,79.53,24.52,1.52,11.95
The_Great_Gatsby.txt,49584,40180,81.03,15.0,1.38,6.56
The_History_of_Herodotus_Volume_1.txt,162228,139332,85.89,42.9,1.35,17.04
The_History_of_Rome_Books_01.txt,233056,197203,84.62,34.46,1.49,15.41
The_History_of_the_Decline_and.txt,1594233,1218419,76.43,25.56,1.58,13.04
The_History_of_the_Peloponnesian_War.txt,204728,175747,85.84,40.21,1.48,17.58
The_Iliad.txt,153677,127838,83.19,31.13,1.27,11.54
The_Invisible_Man_A_Grotesque_Romance.txt,49638,39850,80.28,13.4,1.38,5.97
The_island_of_Doctor_Moreau.txt,44291,36624,82.69,15.63,1.37,6.69
The_Jewish_State.txt,42937,37894,88.25,19.13,1.59,10.66
The_Kama_Sutra_of_Vatsyayana_Translated.txt,59393,52327,88.1,24.55,1.41,10.66
The_King_in_Yellow.txt,73509,58007,78.91,16.55,1.35,6.8
The_King_James_Version_of_the.txt,852598,688557,80.76,27.69,1.27,10.23
The_Lady_of_the_Lake.txt,80050,62573,78.17,19.86,1.36,8.16
The_lesser_Key_of_Solomon_Goetia.txt,21558,17166,79.63,18.68,1.42,8.46
The_Lives_of_the_Twelve_Caesars.txt,234698,190964,81.37,28.82,1.52,13.54
The_Marriage_of_Heaven_and_Hell.txt,4688,4004,85.41,18.45,1.39,7.96
The_Metamorphoses_of_Ovid_Books_I.txt,127891,100304,78.43,23.06,1.4,9.91
The_Odyssey_Rendered_into_English_prose.txt,130597,112781,86.36,29.44,1.28,10.95
The_Philosophy_of_Auguste_Comte.txt,110017,95189,86.52,20.23,1.69,12.24
The_Picture_of_Dorian_Gray.txt,80508,67579,83.94,12.65,1.35,5.25
The_Poetics_of_Aristotle.txt,15268,13152,86.14,22.36,1.54,11.26
The_Portrait_of_a_Lady_Volume.txt,119782,98355,82.11,16.44,1.41,7.49
The_Prince.txt,50102,43335,86.49,37.83,1.46,16.43
The_Principles_of_Psychology_Volume_1.txt,281210,241910,86.02,23.85,1.56,12.13
The_Problems_of_Philosophy.txt,42850,39040,91.11,27.82,1.52,13.19
The_Prophet.txt,12645,11112,87.88,18.95,1.26,6.63
The_Ramayan_of_Valmiki_translated_into.txt,403017,303428,75.29,21.63,1.29,8.07
The_Rape_of_the_Lock_and.txt,57747,47009,81.41,21.69,1.41,9.47
The_Republic.txt,217174,194012,89.33,26.93,1.44,11.9
The_Republic_of_Plato.txt,254679,216842,85.14,21.17,1.44,9.61
The_Scarlet_Letter.txt,85039,69552,81.79,23.0,1.47,10.71
The_Social_Contract_Discourses.txt,123842,110346,89.1,32.71,1.52,15.13
The_Song_Celestial_Or_Bhagavad_Gita.txt,20407,16019,78.5,17.87,1.37,7.53
The_Strange_Case_of_Dr_Jekyll.txt,26073,21978,84.29,21.06,1.35,8.6
The_Time_Machine.txt,32645,27962,85.65,17.07,1.4,7.64
The_Turn_of_the_Screw.txt,43232,36670,84.82,17.17,1.34,6.96
The_Twilight_of_the_Idols_or.txt,72070,58748,81.52,23.36,1.56,11.92
The_Vampyre_a_Tale.txt,12785,10904,85.29,33.58,1.45,14.59
The_Wars_of_the_Jews_Or.txt,236544,205645,86.94,48.73,1.4,19.91
